paket,dalamNegeri,jenisPengadaan,metode,lembaga,satker,lokasi,id,pagu,pemilihanDate,sumberDana,isUMKM,volumePekerjaan,uraianPekerjaan,spesifikasiPekerjaan,ownerType,potensiPemborosan,tags.isInappropriate,tags.inappropriateReason,jumlahTagAktif,_source_part
Belanja Jasa Konversi Aplikasi/Sistem Informasi,True,Jasa Lainnya,Pengadaan Langsung,Kota Jayapura,Dinas Kesehatan,"Papua, Jayapura (Kota)",64962889,177000000.0,March 2026,APBD,True,1 Paket,Upgrade Website; Upgrade Website; Rekam Medik Elektronik; Rekam Medik Elektronik;,Sewa Hosting Website / Tahun; Maintenance Website / Tahun; Jasa Aplikasi Rekam Medik Elektronik (RME); Jasa Aplikasi Rekam Medik Elektronik (RME);,kabkota,0.0,low,,0,19
Belanja Jasa Konsultansi Berorientasi Bidang-Telematika Pengembangan dan Integrasi Aplikasi SIMASN Modul Kepegawaian Tahap 1,True,Jasa Konsultansi,Pengadaan Langsung,Kota Tangerang,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,"Banten, Tangerang (Kota)",62391939,67032000.0,January 2026,APBD,True,4 OB,Ahli Non SKA/SKK S1 Pengalaman 3 Tahun,Tarif Tenaga Ahli Konsultansi Bidang Non-Konstruksi berdasarkan pendidikan dan pengalaman kerja,kabkota,0.0,low,,0,19
Belanja Sewa Aset Tidak Berwujud-Software,True,Jasa Lainnya,E-Purchasing,Kab. Kediri,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,"Jawa Timur, Kediri (Kab.)",63014163,100000000.0,April 2026,APBD,True,1 Paket,Belanja Sewa Aset Tidak Berwujud-Software;,Sewa Aplikasi Perizinan;,kabkota,0.0,low,,0,19
Langganan Aplikasi Pustekipad,True,Barang,E-Purchasing,Kementerian Agama,UIN Sultan Maulana Hasanuddin Banten 423548,"Banten, Serang (Kota)",62394832,132952000.0,January 2026,APBN - BADAN LAYANAN UMUM (F),True,1 Paket,1. Belanja Barang;,Sesuai KAK,central,0.0,low,,0,19
Pengadaan Belanja Keperluan Perkantoran berupa Langganan aplikasi meeting (zoom meeting) pada Kantor WIlayah Hukum Jawa Timur Tahun Anggaran 2026,True,Jasa Lainnya,E-Purchasing,Kementerian Hukum,05 KANWIL JAWA TIMUR SETJEN,"Jawa Timur, Surabaya (Kota)",65656360,15300000.0,January 2026,APBN - RUPIAH MURNI (A),True,"( 1, thn, @ 15300000 )","1. Langganan aplikasi meeting (zoom meeting) ( 1, thn, @ 15300000 );","1. Langganan aplikasi meeting (zoom meeting) ( 1, thn, @ 15300000 );",central,0.0,low,,0,19
Belanja Jasa Konversi Aplikasi/Sistem Informasi,True,Jasa Lainnya,E-Purchasing,Kab. Bandung Barat,Dinas Kesehatan,"Jawa Barat, Bandung Barat (Kab.)",63945677,550915200.0,January 2026,APBD,True,1 paket,Pengadaan Belanja Jasa Aplikasi Layanan Call Center 119,Pengadaan Belanja Jasa Aplikasi Layanan Call Center 119,kabkota,0.0,low,,0,19
Belanja Jasa Konsultansi Berorientasi Bidang-Telematika Pengembangan dan Integrasi Aplikasi SIMASN Modul Kepegawaian Tahap 2,True,Jasa Konsultansi,Pengadaan Langsung,Kota Tangerang,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,"Banten, Tangerang (Kota)",62393947,67032000.0,January 2026,APBD,True,4 OB,Ahli Non SKA/SKK S1 Pengalaman 3 Tahun,Tarif Tenaga Ahli Konsultansi Bidang Non-Konstruksi berdasarkan pendidikan dan pengalaman kerja,kabkota,0.0,low,,0,19
Pengadaan Langganan Aplikasi dan Domain Layanan Dukungan Manajemen Internal SEAQiM,True,Barang,Pengadaan Langsung,Kementerian Pendidikan Dasar dan Menengah,BIRO PERENCANAAN DAN KERJA SAMA,"DI Yogyakarta, Sleman (Kab.)",62394087,32000000.0,January 2026,APBN,True,2 Paket,Lisensi Perangkat dan Domain Website,Lisensi Perangkat dan Domain Website,central,0.0,low,,0,19
Belanja Pemeliharaan Aset Tidak Berwujud-Software (Pemeliharaan Dashboard Tappingbox),True,Jasa Lainnya,E-Purchasing,Kab. Bandung,BADAN PENDAPATAN DAERAH,"Jawa Barat, Bandung (Kab.)",62393791,60000000.0,January 2026,APBD,True,1 Paket,Pemeliharaan Software; Pemeliharaan Software; Pemeliharaan Software;,Pemeliharaan Dashboard Tappingbox,kabkota,0.0,low,,0,19
Belanja Jasa Konsultansi Berorientasi Bidang Telematika - Pengembangan Aplikasi SIAP GAN,True,Jasa Konsultansi,Pengadaan Langsung,Kab. Grobogan,Dinas Komunikasi dan Informatika,"Jawa Tengah, Grobogan (Kab.)",62394954,101920000.0,January 2026,APBD,True,1 Paket,Belanja Jasa Konsultansi Berorientasi Bidang Telematika - Pengembangan Aplikasi SIAP GAN;,"drs pnysnn dok mak 3 bln dngn min tng ahli min 3 org, tnga pndkung (surveyor, drafter, ahli GIS atau tenaga teknis lainnya) mmbthkn prltn pndkung yg kmplks. Bya prsnl min60%, dan bya nn prsnl maks 40%;",kabkota,0.0,low,,0,19
"Langganan software, zoom meeting dan multimedia editing",True,Barang,E-Purchasing,Kementerian Pendidikan Dasar dan Menengah,BIRO PERENCANAAN DAN KERJA SAMA,"DKI Jakarta, Jakarta Pusat (Kota)",62394166,366788000.0,January 2026,APBN,True,10 bulan,"Langganan software, zoom meeting dan multimedia editing","Langganan software, zoom meeting dan multimedia editing",central,0.0,low,,0,19
Langganan Aplikasi FSAINS,True,Barang,E-Purchasing,Kementerian Agama,UIN Sultan Maulana Hasanuddin Banten 423548,"Banten, Serang (Kota)",62394810,1850000.0,January 2026,APBN - BADAN LAYANAN UMUM (F),True,1 Paket,1. Belanja Barang;,Sesuai KAK,central,0.0,low,,0,19
Pengadaan sewa aplikasi zoom meeting SEAMEO CECCEP,True,Jasa Lainnya,E-Purchasing,Kementerian Pendidikan Dasar dan Menengah,BIRO PERENCANAAN DAN KERJA SAMA,"Jawa Barat, Bandung Barat (Kab.)",62394280,9000000.0,January 2026,APBN,True,12 bulan,Pengadaan sewa aplikasi zoom meeting SEAMEO CECCEP,Zoom pro 2 user,central,0.0,low,,0,19
Pengadaan Software Kwh Meter Smart,True,Barang,E-Purchasing,Provinsi Kepulauan Riau,Dinas Energi dan Sumber Daya Mineral,"Kepulauan Riau, Tanjung Pinang (Kota)",65712498,193794900.0,April 2026,APBD,True,1 Unit,Pengadaan Software Kwh Meter Smart;,Software teras Kwh Meter Smart;,provinsi,0.0,low,,0,19
Langganan Aplikasi Feeder Importer,True,Barang,E-Purchasing,Kementerian Agama,UIN Sultan Maulana Hasanuddin Banten 423548,"Banten, Serang (Kota)",62394826,5800000.0,January 2026,APBN - BADAN LAYANAN UMUM (F),True,1 Paket,1. Belanja Penyediaan Barang dan Jasa BLU Lainnya;,Sesuai KAK,central,0.0,low,,0,19
Belanja Pemeliharaan Aset Tidak Berwujud-Software,True,Jasa Lainnya,E-Purchasing,Kab. Tebo,Badan Keuangan Daerah,"Jambi, Tebo (Kab.)",62393702,49000000.0,January 2026,APBD,True,1 Paket,Belanja pemeliharaan Sistem Informasi PBB,;,kabkota,0.0,low,,0,19
Belanja Pemeliharaan Aset Tidak Berwujud-Software,True,Jasa Lainnya,Pengadaan Langsung,Kab. Wonosobo,"Badan Perencanaan Pembangunan, Penelitian dan Pengembangan Daerah","Jawa Tengah, Wonosobo (Kab.)",65289553,10000000.0,January 2026,APBD,True,1 Paket,Beban Pemeliharaan Aset Tidak Berwujud-Software;,;,kabkota,0.0,low,,0,19
Belanja Jasa Pengelolaan Aplikasi SENADA 8,True,Jasa Lainnya,Pengadaan Langsung,Provinsi Kalimantan Timur,Dinas Komunikasi dan Informatika,"Kalimantan Timur, Samarinda (Kota)",65865179,13400000.0,January 2026,APBD,True,1,Uraian Pekerjaan Pada KAK,Spesifikasi Operator SIG,provinsi,0.0,low,,0,19
Perpanjangan ATS Oracle Software BP Batam,False,Jasa Lainnya,E-Purchasing,Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam,Badan Pengusahaan Kawasan Perdagangan Bebas dan Pelabuhan Bebas Batam,"Kepulauan Riau, Batam (Kota)",65179123,1745450000.0,May 2026,APBN - BADAN LAYANAN UMUM (F),True,1 paket,Sesuai KAK,Sesuai KAK,central,0.0,low,,0,19
Belanja Jasa Konversi Aplikasi/Sistem Informasi,True,Barang,E-Purchasing,Kab. Sijunjung,BADAN KEUANGAN DAN ASET DAERAH,"Sumatera Barat, Sijunjung(Kab)",62393875,299253000.0,March 2026,APBD,True,6,Beban Jasa Konversi Aplikasi/Sistem Informasi,Jasa konsultansi Informasi dan Teknologi,kabkota,0.0,low,,0,19
Pemeliharaan Aplikasi Data Mart Penyelengaraan Pos Dan Informatika,True,Jasa Konsultansi,Pengadaan Langsung,Kementerian Komunikasi dan Digital,Direktorat Jenderal Ekosistem Digital,"DKI Jakarta, Jakarta Pusat (Kota)",65680797,100000000.0,February 2026,APBN - PNBP (D),True,1,"Kegiatan Pemeliharaan Aplikasi Data Mart Penyelenggaraan Pos dan Informatika bertujuan untuk menjaga stabilitas dan integritas platform satu data sektor pos, telekomunikasi, dan penyiaran yang dilaksanakan selama 5 (lima) bulan dengan anggaran Rp100.000.000 pada Tahun Anggaran 2026. Lingkup pekerjaan ini mencakup inventarisasi dan penataan dataset, penyusunan katalog data, penyempurnaan struktur skema data mart, optimalisasi proses integrasi data (ETL), serta penyusunan dokumentasi metadata guna menghasilkan luaran berupa laporan kegiatan yang dilengkapi dokumen skema data dan metadata yang merepresentasikan kondisi implementasi aktual.",Minimal S-1 Sistem Informasi,central,0.0,low,,0,19
Belanja Jasa Konsultansi Berorientasi Bidang-Telematika Pengembangan dan Integrasi Aplikasi SIMASN Modul Kepegawaian Tahap 3,True,Jasa Konsultansi,Pengadaan Langsung,Kota Tangerang,BADAN KEPEGAWAIAN DAN PENGEMBANGAN SUMBER DAYA MANUSIA,"Banten, Tangerang (Kota)",62394726,67032000.0,January 2026,APBD,True,4 OB,Ahli Non SKA/SKK S1 Pengalaman 3 Tahun,Tarif Tenaga Ahli Konsultansi Bidang Non-Konstruksi berdasarkan pendidikan dan pengalaman kerja,kabkota,0.0,low,,0,19
Belanja Jasa Pengelolaan Aplikasi SENADA 11,True,Jasa Lainnya,Pengadaan Langsung,Provinsi Kalimantan Timur,Dinas Komunikasi dan Informatika,"Kalimantan Timur, Samarinda (Kota)",65865182,60300000.0,February 2026,APBD,True,1,Uraian Pekerjaan Pada KAK,Spesifikasi Operator SIG,provinsi,0.0,low,,0,19
Sewa Aplikasi SIMPUS (Epus) Puskesmas Wringinanom,True,Barang,Pengadaan Langsung,Kab. Gresik,Puskesmas Wringinanom,"Jawa Timur, Gresik (Kab.)",63015242,13320000.0,January 2026,APBD,True,1 Paket x 1 Kali x 12 Bulan,Sewa Aplikasi SIMPUS (Epus) Puskesmas Wringinanom,Sistem Informasi Manajemen Puskesmas;,kabkota,0.0,low,,0,19
Belanja Jasa Konversi Aplikasi/Sistem Informasi,True,Jasa Lainnya,Dikecualikan,Kab. Ende,Puskesmas Welamosa,"Nusa Tenggara Timur, Ende (Kab.)",65681359,13500000.0,January 2026,APBD,True,1 Paket,Beban Jasa Konversi Aplikasi/Sistem Informasi;,Langganan SIMPUS ( Sistem Informasi Puskesmas );,kabkota,0.0,low,,0,19
Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota,False,Barang,E-Purchasing,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB ACEH UTARA,"Aceh, Aceh Utara (Kab.)",65841716,7945000.0,April 2026,APBN - RUPIAH MURNI (A),True,"( 1, Paket, @ 7945000 )","1. Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota ( 1, Paket, @ 7945000 );",KAK,central,0.0,low,,0,19
Belanja Modal Aset Tidak Berwujud-Software - Aplikasi,True,Jasa Lainnya,Pengadaan Langsung,Kota Probolinggo,"BADAN PENDAPATAN, PENGELOLAAN KEUANGAN DAN ASET DAERAH","Jawa Timur, Probolinggo (Kota)",63015688,25000000.0,January 2026,APBD,True,1 paket,Belanja Modal Aset Tidak Berwujud-Software - Aplikasi Siasad,Belanja Modal Aset Tidak Berwujud-Software - Aplikasi Siasad,kabkota,0.0,low,,0,19
Belanja Jasa Konversi Aplikasi/Sistem Informasi,True,Barang,E-Purchasing,Kota Pasuruan,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,"Jawa Timur, Pasuruan (Kota)",63017326,40000000.0,February 2026,APBD,True,1 Paket,Belanja Jasa Konversi Aprilasi/ Sistem Informasi;,Belanja Pemeliharaan dan Pengembangan Aplikasi;,kabkota,0.0,low,,0,19
Penginapan Fullboard Kegiatan Maintenance  Aplikasi Sistem Informasi Manajemen Aneka Tunjangan berbasis Website,True,Jasa Lainnya,Dikecualikan,Kementerian Pendidikan Dasar dan Menengah,PUSAT LAYANAN PEMBIAYAAN PENDIDIKAN,"DKI Jakarta, Jakarta Pusat (Kota)",62296423,435000000.0,January 2026,APBN,True,5 paket,Penginapan Fullboard Kegiatan Maintenance Aplikasi Sistem Informasi Manajemen Aneka Tunjangan berbasis Website,Penginapan Fullboard,central,435000000.0,high,Pengadaan penginapan fullboard untuk kegiatan maintenance aplikasi berbasis website terindikasi tidak selaras dengan sifat pekerjaan yang pada umumnya dapat dilakukan secara teknis di kantor atau daring. Seluruh nilai pengadaan patut dicermati sebagai potensi pemborosan karena komponen akomodasi tampak dominan dan kebutuhan substantifnya tidak terlihat dari uraian yang tersedia.,1,19
Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota,True,Barang,Pengadaan Langsung,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB TOBA SAMOSIR,"Sumatera Utara, Toba Samosir (Kab.)",62397441,9540000.0,January 2026,APBN - RUPIAH MURNI (A),True,"( 1, Paket, @ 9540000 )","1. Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota ( 1, Paket, @ 9540000 );",Sesuai KAK,central,0.0,low,,0,19
Belanja Sewa Aset Tidak Berwujud-Software,True,Jasa Lainnya,E-Purchasing,Provinsi Jawa Timur,DINAS PEKERJAAN UMUM SUMBERDAYA AIR,"Jawa Timur, Surabaya (Kota)",63016139,11664000.0,January 2026,APBD,True,1 Paket,Langganan Layanan Penyimpanan Berbasis Cloud; Langganan Layanan Penyimpanan Berbasis Cloud selama 12 Bulan,Kapasitas 1TB s.d. 3TB; Kapasitas 1TB s.d. 3TB; Sesuai dengan Kerangka Acuan Kerja (KAK),provinsi,0.0,low,,0,19
Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota,True,Barang,Pengadaan Langsung,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB GIANYAR,"Bali, Gianyar (Kab.)",62394560,9540000.0,January 2026,APBN - RUPIAH MURNI (A),True,"( 1, PAKET, @ 9540000 )","1. Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota ( 1, PAKET, @ 9540000 );","Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota ( 1, PAKET, @ 9540000 );",central,0.0,low,,0,19
Aplikasi Non Tunai,True,Jasa Lainnya,E-Purchasing,Kab. Tuban,RSUD dr. R. KOESMA,"Jawa Timur, Tuban (Kab.)",63016937,1200000.0,January 2026,BLUD,True,1 Tahun,Pemenuhan kebutuhan Aplikasi Non Tunai di lingkungan RSUD dr. R. Koesma Kabupaten Tuban selama 1 tahun,Pemenuhan kebutuhan Aplikasi Non Tunai di lingkungan RSUD dr. R. Koesma Kabupaten Tuban selama 1 tahun sesuai KAK,kabkota,0.0,low,,0,19
Belanja Jasa Konversi  Aplikasi/ Sistem Informasi UPTD Puskesmas Cinangka,True,Jasa Lainnya,Dikecualikan,Kota Depok,UPTD Puskesmas Cinangka,"Jawa Barat, Depok (Kota)",62396232,12000000.0,January 2026,BLUD,False,1 Tahun,Belanja Jasa layanan Operasional TIK Puskesmas (Ciftalife),Belanja Jasa layanan Operasional TIK Puskesmas (Ciftalife),kabkota,0.0,low,,0,19
Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota,True,Barang,Pengadaan Langsung,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB SIMALUNGUN,"Sumatera Utara, Simalungun (Kab.)",65404009,7945000.0,January 2026,APBN - RUPIAH MURNI (A),True,"( 1, PAKET, @ 7945000 )","1. Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota ( 1, PAKET, @ 7945000 );",Terlampir Sesuai KAK,central,0.0,low,,0,19
Paket Aplikasi Canva,True,Barang,Pengadaan Langsung,Lembaga Penyiaran Radio Republik Indonesia,RRI SUNGAILIAT,"Kep. Bangka Belitung, Bangka (Kab.)",65667753,900000.0,January 2026,APBN - RUPIAH MURNI (A),True,1 Paket,"1. Paket Aplikasi Canva ( 1 Tahun @ 900,000 );",Pemenuhan keperluan paket aplikasi canva untuk keperluan kantor dan media sosial RRI Sungailiat,central,0.0,low,,0,19
Pemeliharaan Aplikasi Web Library (1 Paket X 1 Kegiatan),True,Jasa Lainnya,Pengadaan Langsung,Kementerian Perhubungan,POLITEKNIK ILMU PELAYARAN SEMARANG,"Jawa Tengah, Semarang (Kota)",62671201,35000000.0,January 2026,APBN - BADAN LAYANAN UMUM (F),True,"( 1, PKT, @ 35000000 )","1. Pemeliharaan Aplikasi Web Library (1 Paket X 1 Kegiatan) ( 1, PKT, @ 35000000 );",Pemeliharaan Aplikasi Web Library,central,0.0,low,,0,19
Belanja jasa konversi aplikasi,True,Jasa Lainnya,E-Purchasing,Kab. Klungkung,UPTD Puskesmas Dawan II,"Bali, Klungkung (Kab.)",62398274,13320000.0,January 2026,APBD,True,12 Bulan,Jasa sistem informasi e-Puskesmas (Langganan SIMPUS),"Integrated BPJS, cloud computing, create automatic report, online monitoring system",kabkota,0.0,low,,0,19
Pembelian Aplikasi Untuk peningkatan layanan unit usaha (BPU),True,Barang,E-Purchasing,"Kementerian Pendidikan Tinggi, Sains, dan Teknologi",UNIVERSITAS RIAU,"Riau, Pekanbaru (Kota)",65670715,142080000.0,February 2026,APBN - PNBP (D),True,1 paket,Pembelian Aplikasi Untuk peningkatan layanan unit usaha (BPU),Pembelian Aplikasi Untuk peningkatan layanan unit usaha (BPU),central,0.0,low,,0,19
Belanja Jasa Konversi Aplikasi/Sistem Informasi-Distribusi Obat (Diskes),True,Jasa Lainnya,E-Purchasing,Provinsi DI Yogyakarta,DINAS KESEHATAN,"DI Yogyakarta, Yogyakarta (Kota)",63017189,94862000.0,July 2026,APBD,True,1 Paket,Jasa Konsultansi Pengembangan Aplikasi SI SEMAR SEHAT;,Aplikasi pengelolaan sediaan farmasi dan alkes di Instlasi Farmasi Diskes DIY;,provinsi,0.0,low,,0,19
Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota,True,Barang,Pengadaan Langsung,Badan Pusat Statistik,BADAN PUSAT STATISTIK KAB PADANG LAWAS,"Sumatera Utara, Padang Lawas (Kab.)",62398399,9540000.0,January 2026,APBN - RUPIAH MURNI (A),True,"( 1, PAKET, @ 9540000 )","1. Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota ( 1, PAKET, @ 9540000 );","Pengadaan software pendukung perwajahan publikasi BPS Kabupaten/Kota ( 1, PAKET, @ 9540000 )",central,0.0,low,,0,19
Reset Software (Memory Full) Printer,True,Barang,E-Purchasing,Kementerian Pertahanan,Rumkit Tk II M Ridwan Meuraksa Dam Jaya TNI AD,"DKI Jakarta, Jakarta Timur (Kota)",62399719,50000000.0,January 2026,APBN,False,100.0 Unit,Reset Software (Memory Full) Printer,Reset Software (Memory Full) Printer,central,0.0,low,,0,19
Pembuatan Aplikasi SIJADIL,True,Jasa Konsultansi,Pengadaan Langsung,Kab. Klungkung,"Dinas Pekerjaan Umum, Penataan Ruang, Perumahan dan Kawasan Permukiman","Bali, Klungkung (Kab.)",62399910,100000000.0,April 2026,APBD,True,1 Paket,Belanja Modal Aset Tidak Berwujud-Software berupa Pembuatan Aplikasi SIJADIL,"manajemen data spasial dan atribut, visualisasi kondisi, user manajemen, peta interaktif, aksesibilitasberbasis usahadan dapat diakses melalui browserdesktop maupun mobile",kabkota,0.0,low,,0,19
Belanja Barang dan Jasa - Belanja Aplikasi E-BLUD  - BLUD - PKM GSI,True,Jasa Lainnya,E-Purchasing,Kota Balikpapan,UPTD PUSKESMAS GUNUNG SARI ILIR,"Kalimantan Timur, Balikpapan (Kota)",63018856,9000000.0,December 2025,BLUD,True,1 Paket,Belanja Barang dan Jasa - Belanja Aplikasi E-BLUD - BLUD - PKM GSI,Belanja Barang dan Jasa - Belanja Aplikasi E-BLUD - BLUD - PKM GSI,kabkota,0.0,low,,0,19
Update Aplikasi Sistem Informasi Data Rumah ( SINDARU ),True,Jasa Konsultansi,Pengadaan Langsung,Kota Blitar,Dinas Perumahan Rakyat dan Kawasan Permukiman,"Jawa Timur, Blitar (Kota)",62408350,30000000.0,June 2026,APBD,True,1 Paket,sesuai KAK,sesuai KAK,kabkota,0.0,low,,0,19
Belanja Jasa Pemeliharaan Aset Tidak Berwujud - Aplikasi Canva,True,Jasa Lainnya,Pengadaan Langsung,Kab. Badung,UPTD. Puskesmas Abiansemal III,"Bali, Badung (Kab.)",65250636,1000000.0,February 2026,BLUD,True,1 paket,Belanja Jasa Pemeliharaan Aset Tidak Berwujud - Aplikasi Canva,Belanja Jasa Pemeliharaan Aset Tidak Berwujud - Aplikasi Canva,kabkota,0.0,low,,0,20
Instal Aplikasi,True,Jasa Lainnya,E-Purchasing,Kab. Tuban,RSUD dr. R. KOESMA,"Jawa Timur, Tuban (Kab.)",63020971,16000000.0,January 2026,BLUD,True,1 Tahun,Pemenuhan kebutuhan Instal Aplikasi di lingkungan RSUD dr. R. Koesma Kabupaten Tuban selama 1 tahun,Pemenuhan kebutuhan Instal Aplikasi di lingkungan RSUD dr. R. Koesma Kabupaten Tuban selama 1 tahun sesuai KAK,kabkota,0.0,low,,0,20
Tenaga Ahli APSI-DIS (Middle Software Developer) - I - 1 (PD),True,Jasa Konsultansi,Pengadaan Langsung,Provinsi DKI Jakarta,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,"DKI Jakarta, Jakarta Selatan (Kota)",62410452,55275000.0,December 2025,APBD,True,3 Bulan,Tercantum di KAK,Tercantum di KAK,provinsi,0.0,low,,0,20
Software Application Monitoring,True,Barang,E-Purchasing,Kementerian Perindustrian,Pusat Data dan Informasi,"DKI Jakarta, Jakarta Selatan (Kota)",62410249,1350000000.0,July 2026,APBN - RUPIAH MURNI (A),True,"( 1, Paket, @ 1350000000 )","1. Software Application Monitoring ( 1, Paket, @ 1350000000 );",Spesifikasi Pekerjaan Software Application Monitoring akan dicantumkan dalam KAK,central,0.0,low,,0,20
Tenaga Ahli APSI-DIS (Senior Software Developer) - I - 1 (PD),True,Jasa Konsultansi,Pengadaan Langsung,Provinsi DKI Jakarta,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,"DKI Jakarta, Jakarta Selatan (Kota)",62410447,57750000.0,December 2025,APBD,True,3 Bulan,Tercantum di KAK,Tercantum di KAK,provinsi,0.0,low,,0,20
Pengadaan Jasa Konversi Aplikasi / Sistem Informasi Puskesmas Batur 2,True,Jasa Lainnya,Dikecualikan,Kab. Banjarnegara,Dinas Kesehatan,"Jawa Tengah, Banjarnegara (Kab.)",65195188,100000.0,January 2026,BLUD,True,1 Paket,Pengadaan Jasa Konversi,Jasa konversi aplikasi 1 tahun,kabkota,0.0,low,,0,20
"Belanja Jasa Konversi Aplikasi/Sistem Informasi (Sub Kegiatan Pengendalian, Pemeriksaan dan Pengawasan Pajak Daerah)",True,Jasa Lainnya,E-Purchasing,Kota Pasuruan,BADAN PENDAPATAN DAERAH,"Jawa Timur, Pasuruan (Kota)",63020783,50000000.0,February 2026,APBD,True,1 Paket,Belanja Jasa Konversi Aprilasi/ Sistem Informasi;,Belanja Pemeliharaan dan Pengembangan Aplikasi;,kabkota,0.0,low,,0,20
Tenaga Ahli APSI-DIS (Lead Software Developer) - I - 1 (PD),True,Jasa Konsultansi,Pengadaan Langsung,Provinsi DKI Jakarta,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,"DKI Jakarta, Jakarta Selatan (Kota)",62410404,62700000.0,December 2025,APBD,True,3 Bulan,Tercantum di KAK,Tercantum di KAK,provinsi,0.0,low,,0,20
Tenaga Ahli APSI-DIS (Middle Software Developer) - I - 3 (PD),True,Jasa Konsultansi,Pengadaan Langsung,Provinsi DKI Jakarta,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,"DKI Jakarta, Jakarta Selatan (Kota)",62410464,55275000.0,December 2025,APBD,True,3 Bulan,Tercantum di KAK,Tercantum di KAK,provinsi,0.0,low,,0,20
Belanja Jasa Konversi Aplikasi/Sistem Informasi; sub keg : Penyediaan Peralatan dan Perlengkapan Kantor,True,Jasa Lainnya,Dikecualikan,Kota Depok,DINAS KEARSIPAN DAN PERPUSTAKAAN,"Jawa Barat, Depok (Kota)",63020411,15000000.0,February 2026,APBD,False,1 paket,Zoom Meeting; sub keg : Penyediaan Peralatan dan Perlengkapan Kantor,500 partisipan selama setahun,kabkota,0.0,med,,1,20
Belanja Pemeliharaan Aset Tidak Berwujud-Software,True,Jasa Lainnya,Pengadaan Langsung,Kota Yogyakarta,Dinas Pendidikan Pemuda dan Olahraga,"DI Yogyakarta, Yogyakarta (Kota)",62377303,147000000.0,December 2025,APBD,True,3 Paket,Belanja Pemeliharaan Aset Tidak Berwujud-Software,-,kabkota,0.0,low,,0,20
Tenaga Ahli APSI-DIS (Middle Software Developer) - I - 4 (PD),True,Jasa Konsultansi,Pengadaan Langsung,Provinsi DKI Jakarta,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,"DKI Jakarta, Jakarta Selatan (Kota)",62410468,55275000.0,December 2025,APBD,True,3 Bulan,Tercantum di KAK,Tercantum di KAK,provinsi,0.0,low,,0,20
"Belanja Sewa Aset Tidak Berwujud-Software (Canva, Google Drive, dan Zoom Meeting)",True,Jasa Lainnya,Pengadaan Langsung,Kota Yogyakarta,Dinas Pendidikan Pemuda dan Olahraga,"DI Yogyakarta, Yogyakarta (Kota)",62377219,28000000.0,December 2025,APBD,True,2 paket,"Belanja Sewa Aset Tidak Berwujud-Software (Canva, Google Drive, dan Zoom Meeting)",-,kabkota,0.0,low,,0,20
Belanja Pemeliharaan Aset Tidak Berwujud-Software,True,Jasa Lainnya,E-Purchasing,Kab. Lamongan,RSUD Ngimbang,"Jawa Timur, Lamongan (Kab.)",65420028,390000000.0,February 2026,BLUD,True,1 paket,Pengembangan Fitur SIMRS 1,Sesuai KAK,kabkota,0.0,low,,0,20
Migrasi Aplikasi,True,Jasa Konsultansi,Seleksi,Kementerian Perindustrian,Pusat Data dan Informasi,"DKI Jakarta, Jakarta Selatan (Kota)",62410254,1500000000.0,June 2026,APBN - RUPIAH MURNI (A),True,"( 1, Paket, @ 1500000000 )","1. Migrasi Aplikasi ( 1, Paket, @ 1500000000 );",Spesifikasi Pekerjaan Migrasi Aplikasi akan dicantumkan dalam KAK,central,0.0,low,,0,20
Belanja Sewa Aset Tidak Berwujud-Software,True,Jasa Lainnya,E-Purchasing,Provinsi Sulawesi Selatan,DINAS KEPENDUDUKAN DAN CATATAN SIPIL,"Sulawesi Selatan, Makassar (Kota)",63020587,5462000.0,January 2026,APBD,True,1 Paket,Anti Virus;,Kapasitas: 10 Perangkat dan 10 Perangkat Mobile + 1 Server;,provinsi,0.0,low,,0,20
